20-Jan-2020 15:39:13, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 15:39:13 | sent: set_dtime | resp: 01,ACK,#
20-Jan-2020 15:45:29, cmd_logger, INFO [logging_decor.py line:38],	ts: 2020-Jan-20 15:45:29 | cmd: set_dtime100 | code_cmd: 01,TI,DR,TM,100# | resp: 01,ACK,#
20-Jan-2020 15:45:29, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 15:45:29 | sent: set_dtime100 | resp: 01,ACK,#
20-Jan-2020 15:45:53, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: ['The set parameter and code_cmd string do not match - 01,TI,DR,MT,100# | time;100']
20-Jan-2020 15:46:02, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: ['The set parameter and cmd string do not match']
20-Jan-2020 15:46:42, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: {'code_cmd': ["Invalid code command string - '01,TI,DR,MT,100#'"], 'setval': ['Incorrect range for setting temperature; >20 and <70 - 100']}
20-Jan-2020 15:47:03, cmd_logger, INFO [logging_decor.py line:38],	ts: 2020-Jan-20 15:47:03 | cmd: set_dtemp20 | code_cmd: 01,TI,DR,MT,20# | resp: 01,ACK,#
20-Jan-2020 15:47:03, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 15:47:03 | sent: set_dtemp20 | resp: 01,ACK,#
20-Jan-2020 16:26:15, cmd_logger, INFO [logging_decor.py line:38],	ts: 2020-Jan-20 16:26:15 | cmd: set_dtemp20 | code_cmd: 01,TI,DR,MT,20# | resp: 01,ACK,#
20-Jan-2020 16:26:15, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 16:26:15 | sent: set_dtemp20 | resp: 01,ACK,#
20-Jan-2020 16:26:27, cmd_logger, INFO [logging_decor.py line:38],	ts: 2020-Jan-20 16:26:27 | cmd: set_dtemp50 | code_cmd: 01,TI,DR,MT,50# | resp: 01,ACK,#
20-Jan-2020 16:26:27, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 16:26:27 | sent: set_dtemp50 | resp: 01,ACK,#
20-Jan-2020 17:54:17, cmd_logger, INFO [logging_decor.py line:38],	ts: 2020-Jan-20 17:54:17 | cmd: set_dtemp50 | code_cmd: 01,TI,DR,MT,50# | resp: 01,ACK,#
20-Jan-2020 17:54:17, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 17:54:17 | sent: set_dtemp50 | resp: 01,ACK,#
20-Jan-2020 18:04:42, cmd_logger, ERROR [logging_decor.py line:33],	Invalid response string - 
20-Jan-2020 18:04:42, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: {'resp': ['Invalid response string - ']}
20-Jan-2020 18:08:14, cmd_logger, ERROR [logging_decor.py line:33],	Invalid response string -> 
20-Jan-2020 18:08:14, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: {'resp': ['Invalid response string -> ']}
20-Jan-2020 18:08:30, cmd_logger, ERROR [logging_decor.py line:33],	The set parameter and code_cmd string do not match -> 01,TI,DR,MT,50# != temp;22
20-Jan-2020 18:08:30, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: ['The set parameter and code_cmd string do not match -> 01,TI,DR,MT,50# != temp;22']
20-Jan-2020 18:08:48, cmd_logger, ERROR [logging_decor.py line:33],	Invalid response string -> 01,AC,#
20-Jan-2020 18:08:48, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | error: {'resp': ['Invalid response string -> 01,AC,#']}
20-Jan-2020 18:08:55, cmd_logger, INFO [logging_decor.py line:38],	ts: 2020-Jan-20 18:08:55 | cmd: set_dtemp22 | code_cmd: 01,TI,DR,MT,22# | resp: 01,ACK,#
20-Jan-2020 18:08:55, cmd_logger, INFO [logging_decor.py line:38],	func: tp_wbsrv_upd_put | ts: 2020-Jan-20 18:08:55 | sent: set_dtemp22 | resp: 01,ACK,#
